Agency,AI Use Case,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Committee for Purchase From People Who Are Blind or Significantly Disabled,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,Logging and analyzing time spent on tasks using AI-powered time management tools.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Y,Microsoft 365 Copilot GCC,1-100
Committee for Purchase From People Who Are Blind or Significantly Disabled,Prioritizing and categorizing incoming emails using AI.,Y,Microsoft 365 Copilot GCC,1-100
Committee for Purchase From People Who Are Blind or Significantly Disabled,"Editing images, videos, or other public affairs materials using AI.",Y,Microsoft 365 Copilot GCC,1-100
Committee for Purchase From People Who Are Blind or Significantly Disabled,Scheduling and managing social media posts using AI.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,"Generating first drafts of documents, briefing, or communication materials using AI.",Y,Microsoft 365 Copilot GCC,1-100
Committee for Purchase From People Who Are Blind or Significantly Disabled,Improving the quality of written communications using AI tools.,Y,Microsoft 365 Copilot GCC,1-100
Committee for Purchase From People Who Are Blind or Significantly Disabled,Summarizing the key points of a lengthy report using AI.,Y,Microsoft 365 Copilot GCC,1-100
Committee for Purchase From People Who Are Blind or Significantly Disabled,Creating visual representations of data sets for reports or presentations using AI.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,Using AI-assisted tools in word processors.,Y,Microsoft 365 Copilot GCC,1-100
Committee for Purchase From People Who Are Blind or Significantly Disabled,Generating code using AI.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,Searching for agency information using a knowledge retrieval system.,Y,Microsoft 365 Copilot GCC,1-100
Committee for Purchase From People Who Are Blind or Significantly Disabled,Identifying and cataloging items in a storage room using AI-driven image recognition.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,Managing and prioritizing internal service or help desk tickets using AI.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,Curating news articles and updates based on user preferences using AI.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,Planning travel routes using AI-driven map applications.,N,,
Committee for Purchase From People Who Are Blind or Significantly Disabled,Finding and booking travel accommodations using AI-powered platforms.,N,,
